Timestamp,Machine ID,Operator ID,Engine Hours,Fuel Used (L),Fuel Level (%),Load Cycles,Idling Time (min),Seatbelt Status,Safety Alert Triggered,Engine Temp (C),Ambient Temp (C),Proximity Event,Weather,Hours Into Shift,Minutes Since Break,Alerts So Far Today,Unusual Use,Transmission Temp (C),Track Tension (%),Undercarriage Wear (%),Safety Alert Next Hour,Hydraulic Temp (C),Hydraulic Pressure (bar),Payload (kg),Tyre Pressure (psi)
2025-05-01 07:00:00,DZR001,OP1002,2021.0,1.8,78.4,0,50,Fastened,Yes,78.3,25.3,No,hot,0,0,0,,75.7,68.4,48.4,Yes,,,,
2025-05-01 07:00:00,EXC001,OP1001,1181.0,6.6,82.7,11,4,Fastened,No,78.3,22.4,No,hot,0,0,0,,,63.3,,No,69.1,293.2,,
2025-05-01 07:00:00,LDR001,OP1002,691.0,5.3,98.2,12,12,Fastened,No,79.1,16.1,No,clear,0,0,0,,69.3,,,No,,,5078,69.0
2025-05-01 08:00:00,DZR001,OP1002,2022.0,1.5,78.0,0,34,Unfastened,Yes,85.4,28.3,No,hot,1,60,1,,88.6,80.1,48.3,Yes,,,,
2025-05-01 08:00:00,EXC001,OP1001,1182.0,1.6,82.3,0,22,Fastened,No,83.1,27.1,No,hot,1,60,0,,,75.8,,No,77.8,297.4,,
2025-05-01 08:00:00,LDR001,OP1002,692.0,5.4,96.9,8,10,Fastened,No,79.6,20.7,No,clear,1,60,0,,79.6,,,No,,,3980,66.2
2025-05-01 09:00:00,DZR001,OP1002,2023.0,1.5,77.7,0,52,Fastened,Yes,83.8,32.8,Yes,hot,2,120,2,,77.6,65.6,47.8,No,,,,
2025-05-01 09:00:00,EXC001,OP1001,1183.0,4.7,81.2,0,2,Fastened,No,83.7,30.8,No,hot,2,120,0,no_work_run,,71.0,,No,78.6,274.1,,
2025-05-01 09:00:00,LDR001,OP1002,693.0,1.8,96.4,0,17,Fastened,No,78.0,24.5,No,clear,2,120,0,,76.5,,,No,,,0,70.8
2025-05-01 10:00:00,DZR001,OP1002,2024.0,1.5,77.3,0,34,Fastened,No,83.3,35.8,No,hot,3,180,3,,80.4,61.9,47.6,Yes,,,,
2025-05-01 10:00:00,EXC001,OP1001,1184.0,6.4,79.6,9,4,Fastened,No,87.4,33.9,No,hot,3,180,0,,,70.4,,No,82.8,278.7,,
2025-05-01 10:00:00,LDR001,OP1002,694.0,6.2,94.9,12,8,Fastened,No,80.1,28.6,No,clear,3,180,0,,78.9,,,No,,,3803,66.2
2025-05-01 11:00:00,DZR001,OP1002,2025.0,1.7,76.9,0,37,Unfastened,Yes,87.4,36.8,No,hot,4,240,3,,80.8,67.4,47.5,Yes,,,,
2025-05-01 11:00:00,EXC001,OP1001,1185.0,5.4,78.3,0,1,Fastened,No,88.3,39.3,No,hot,4,240,0,no_work_run,,67.0,,No,85.9,245.4,,
2025-05-01 11:00:00,LDR001,OP1002,695.0,4.7,93.8,11,8,Fastened,No,85.8,32.6,No,clear,4,240,0,,86.3,,,No,,,5666,70.1
2025-05-01 12:00:00,DZR001,OP1002,2026.0,5.3,75.6,14,4,Unfastened,Yes,86.2,41.5,No,hot,5,60,4,,88.8,78.0,49.0,No,,,,
2025-05-01 12:00:00,EXC001,OP1001,1186.0,5.9,76.8,18,3,Fastened,No,91.8,39.6,No,hot,5,60,0,,,82.9,,No,86.7,278.2,,
2025-05-01 12:00:00,LDR001,OP1002,696.0,5.2,92.5,8,4,Fastened,No,82.6,34.7,No,clear,5,60,0,,78.9,,,No,,,4632,67.6
2025-05-01 13:00:00,DZR001,OP1002,2027.0,2.3,75.0,0,42,Fastened,No,90.4,42.2,No,hot,6,120,5,,87.5,69.5,47.4,Yes,,,,
2025-05-01 13:00:00,EXC001,OP1001,1187.0,7.4,75.0,7,3,Fastened,No,90.4,42.1,No,hot,6,120,0,,,80.2,,No,82.3,274.3,,
2025-05-01 13:00:00,LDR001,OP1002,697.0,6.2,91.0,11,11,Fastened,No,84.7,37.3,No,clear,6,120,0,,77.1,,,No,,,3813,66.2
2025-05-01 14:00:00,DZR001,OP1002,2028.0,5.7,73.6,0,2,Unfastened,Yes,88.2,43.6,No,hot,7,180,5,no_work_run,90.4,79.4,47.8,Yes,,,,
2025-05-01 14:00:00,EXC001,OP1001,1188.0,4.1,74.0,8,6,Fastened,No,86.8,43.4,No,hot,7,180,0,,,58.8,,No,84.6,300.4,,
2025-05-01 14:00:00,LDR001,OP1002,698.0,7.3,89.2,17,4,Fastened,No,87.9,34.2,No,clear,7,180,0,,84.1,,,No,,,5751,68.4
2025-05-01 15:00:00,DZR001,OP1002,2029.0,6.7,72.0,6,6,Unfastened,Yes,86.2,40.0,No,hot,8,240,6,,86.7,63.7,47.4,,,,,
2025-05-01 15:00:00,EXC001,OP1001,1189.0,4.9,72.8,8,11,Fastened,No,91.1,41.2,No,hot,8,240,0,,,83.8,,,86.6,279.1,,
2025-05-01 15:00:00,LDR001,OP1002,699.0,6.4,87.7,18,11,Fastened,No,91.8,32.7,No,clear,8,240,0,,90.1,,,,,,4788,66.6
2025-05-02 07:00:00,DZR001,OP1002,2030.0,1.3,87.1,0,33,Fastened,No,75.0,18.3,No,dust,0,0,0,,78.2,72.2,48.1,Yes,,,,
2025-05-02 07:00:00,EXC001,OP1001,1190.0,4.0,73.6,10,8,Fastened,No,77.5,13.7,No,overcast,0,0,0,,,64.8,,No,68.6,267.8,,
2025-05-02 07:00:00,LDR001,OP1002,700.0,7.2,77.1,16,4,Fastened,No,81.4,13.9,No,overcast,0,0,0,,83.4,,,No,,,4558,71.6
2025-05-02 08:00:00,DZR001,OP1002,2031.0,1.4,86.7,0,46,Fastened,Yes,77.7,21.6,No,dust,1,60,0,,73.7,65.3,48.0,Yes,,,,
2025-05-02 08:00:00,EXC001,OP1001,1191.0,7.2,71.8,17,11,Fastened,No,85.7,17.4,No,overcast,1,60,0,,,61.3,,No,81.5,252.6,,
2025-05-02 08:00:00,LDR001,OP1002,701.0,4.2,76.1,13,6,Fastened,No,74.7,16.8,No,overcast,1,60,0,,71.4,,,No,,,5800,65.1
2025-05-02 09:00:00,DZR001,OP1002,2032.0,4.9,85.5,6,3,Unfastened,Yes,84.8,27.9,No,dust,2,120,1,,83.9,73.3,48.9,Yes,,,,
2025-05-02 09:00:00,EXC001,OP1001,1192.0,6.8,70.2,11,12,Fastened,No,82.4,23.4,No,overcast,2,120,0,,,64.6,,No,80.4,260.6,,
2025-05-02 09:00:00,LDR001,OP1002,702.0,6.9,74.4,10,7,Fastened,No,79.3,22.1,No,overcast,2,120,0,,79.9,,,No,,,5679,60.7
2025-05-02 10:00:00,DZR001,OP1002,2033.0,5.4,84.2,13,6,Unfastened,Yes,80.8,29.3,No,dust,3,180,2,,72.7,65.9,48.0,Yes,,,,
2025-05-02 10:00:00,EXC001,OP1001,1193.0,6.0,68.7,18,4,Fastened,No,87.5,24.6,No,overcast,3,180,0,,,78.5,,No,84.9,315.1,,
2025-05-02 10:00:00,LDR001,OP1002,703.0,7.0,72.7,15,6,Fastened,No,85.7,27.1,No,overcast,3,180,0,,88.2,,,No,,,5807,64.3
2025-05-02 11:00:00,DZR001,OP1002,2034.0,1.4,83.9,0,50,Fastened,Yes,87.6,35.7,No,dust,4,240,3,,85.1,80.5,47.7,No,,,,
